VEND;CNPJ;CLIENTE;DIA;TIPO;LATITUDE;LONGITUDE
aurea;4,27E+13;VERSA DENTAL E MED EIRE;13/05/2026;MANUTENCAO;-1,4472656;-48,485822
aurea;2,61E+13;WAHOO INOVACAO E COMERC;21/05/2026;MANUTENCAO;-1,4556357;-48,4896786
aurea;4,98E+12;YAMAMOTO COMERCIO LTDA;14/05/2026;MANUTENCAO;-1,4528555;-48,4955521
marceloa;1,33E+13;A. C. C. FAVACHO ESTAMP;04/05/2026;MANUTENCAO;-1,426748;-48,4887054
marceloa;4,55E+12;DELTA MAQUINAS LTDA;04/05/2026;MANUTENCAO;-1,378087;-48,3951187
marceloa;1,07E+12;FABRICA CORDEIRO LTDA;25/05/2026;MANUTENCAO;-1,3657065;-48,424238
marceloa;5,49E+13;HOTCAR AUTO SERVICOS LI;25/05/2026;MANUTENCAO;-1,0613748;-46,7665816
marceloa;3,07E+13;I B DE MORAIS CARDOSO L;08/05/2026;NEGOCIACAO;-1,2904844;-47,92355
marceloa;5,13E+13;IGOR NELSON COSTA DE ME;25/05/2026;MANUTENCAO;-1,4061767;-48,439233
marceloa;2,31E+13;IMPORTADORA AGUIAR COME;08/05/2026;MANUTENCAO;-2,4164;-54,7121
marceloa;3,49E+13;IMPORTADORA BRASILEIRA;25/05/2026;MANUTENCAO;0,0423;-51,0728
marceloa;4,50E+12;LOJA DO BORRACHEIRO COM;04/05/2026;MANUTENCAO;-1,381337;-48,3993381
marceloa;2,70E+13;M DA S RODRIGUES COMERC;04/05/2026;MANUTENCAO;-1,4288955;-48,4710386
marceloa;5,27E+13;MARIA E DOS S NUNES;04/05/2026;MANUTENCAO;-1,3656017;-48,3330985
marceloa;5,14E+12;NORTEBUS COMERCIO DE PE;08/05/2026;MANUTENCAO;-1,402897;-48,4248177
marceloa;6,22E+12;SCHLICHTING INDUSTRIA E;25/05/2026;MANUTENCAO;-1,3394205;-48,4279472
marceloa;7,03E+12;TRATORBEL COMERCIO E IM;08/05/2026;MANUTENCAO;-1,3943069;-48,3529697
roxanne;1,84E+13;3I COMERCIO E SERVICOS;15/05/2026;MANUTENCAO;-1,4692291;-48,498438
roxanne;1,70E+13;ALMEIDA DISTRIBUIDORA E;07/05/2026;NEGOCIACAO;-3,2125;-52,2241
roxanne;2,86E+13;ANTONIO AILTON DA CRUZ;27/05/2026;MANUTENCAO;-1,3713375;-48,2479546
roxanne;2,34E+13;BIOMUNDO BELEM PRODUTOS;07/05/2026;MANUTENCAO;-1,4592695;-48,4890012
roxanne;6,38E+13;BLAUS DISTR DE PRODUTOS;05/05/2026;MANUTENCAO;-1,4356981;-48,4664482
roxanne;8,70E+11;BRA COMERCIO E SERVICOS;06/05/2026;MANUTENCAO;-1,429348;-48,460584
roxanne;2,34E+13;BRASIL EXPORTADORA DE M;21/05/2026;MANUTENCAO;-1,341922;-48,3555532
roxanne;2,01E+13;BRASLUM IMPORTADORA LTD;12/05/2026;MANUTENCAO;-1,3597954;-48,4211941
roxanne;2,01E+13;BRASLUM IMPORTADORA LTD;28/05/2026;MANUTENCAO;-1,3597954;-48,4211941
roxanne;8,26E+12;BRUNINI COMERCIO DE TEC;06/05/2026;MANUTENCAO;-1,4565493;-48,4783884
roxanne;6,31E+12;C A CAMPOS SILVA (C.)(C;04/05/2026;MANUTENCAO;-1,4173707;-48,4651893
roxanne;2,78E+12;CARDINALI BOMBAS LTDA -;05/05/2026;MANUTENCAO;-1,4714814;-48,478374
roxanne;2,78E+12;CARDINALI BOMBAS LTDA -;28/05/2026;MANUTENCAO;-1,4714814;-48,478374
roxanne;1,34E+13;CASA CONTENTE COMERCIO;07/05/2026;MANUTENCAO;-1,4479;-48,4885
roxanne;4,26E+13;CASSIA ANDRADE COMERCIO;27/05/2026;MANUTENCAO;-1,4541239;-48,4742393
roxanne;9,16E+12;CENTRO OESTE EQUIP SERV;04/05/2026;MANUTENCAO;-1,4343382;-48,48738
roxanne;4,27E+12;CF DISTRIBUIDORA DE ALI;28/05/2026;NEGOCIACAO;-1,3629888;-48,2991808
roxanne;3,38E+13;CHRISTINA PINTO GUIMARA;20/05/2026;MANUTENCAO;-1,4594756;-48,485885
roxanne;1,25E+13;CINEXT DISTRIBUIDORA LT;28/05/2026;MANUTENCAO;-1,3644333;-48,4500081
roxanne;2,68041E+13;CINTIA .R. DE MORAES CO;15/05/2026;NEGOCIACAO;-1,2793106;-47,9226309
roxanne;1,05E+13;CONTROLE INDUSTRIA E CO;21/05/2026;MANUTENCAO;-1,411965;-48,472401
roxanne;5,00E+12;CRISTALFARMA COM REP IM;06/05/2026;NEGOCIACAO;-1,3746538;-48,390645
roxanne;1,42E+13;DECORE CASA COMERCIO DE;11/05/2026;MANUTENCAO;-1,295139;-47,9262655
roxanne;1,36E+13;E J ALMEIDA TAVARES - M;05/05/2026;MANUTENCAO;-1,4522062;-48,488246
roxanne;3,24E+13;ELETROMAQUINAS COM. ATA;27/05/2026;NEGOCIACAO;-1,4506965;-48,4646311
roxanne;4,35E+12;EMANOEL NATIVIDADE POMB;07/05/2026;MANUTENCAO;-1,4672629;-48,4845146
roxanne;4,95E+12;F CARDOSO E CIA LTDA;05/05/2026;MANUTENCAO;-1,3696356;-48,377537
roxanne;3,46E+13;FARO PRESENTES LTDA;05/05/2026;MANUTENCAO;-1,4486587;-48,4841607
roxanne;4,94E+13;FEST EAMP FEST LTDA;25/05/2026;MANUTENCAO;-1,4544054;-48,5016029
roxanne;5,81E+13;FIBRA FORTE LTDA;28/05/2026;MANUTENCAO;-1,3621;-48,337
roxanne;6,92E+12;ICATIL INDUSTRIA DE ARG;07/05/2026;NEGOCIACAO;-1,3143322;-48,2463756
roxanne;1,03E+13;INDUSTRIA DE ARGAMASSAS;28/05/2026;MANUTENCAO;-3,0412;-59,9014
